AR_Ref,FA_CodeFamille,AR_Design,Colonne1, AR_PrixVen, Stock_TOTAL
AC1551,BATORDPOR,ACER BATTERIE ORDINATEUR 1551/AL10C31/AL10D56/1830T/721/753/1430T,BATTERIE ORDINATEUR PORTABLE,10000,4
AC1825,BATORDPOR,ACER BATTERIE ORDINATEUR 1825,BATTERIE ORDINATEUR PORTABLE,10000,0
AC3630,BATORDPOR,ACER BATTERIE ORDINATEUR 3630,BATTERIE ORDINATEUR PORTABLE,10000,0
AC3820TBK,BATORDPOR,ACER BATTERIE ORDINATEUR 3820T,BATTERIE ORDINATEUR PORTABLE,10000,13
AC3830T,BATORDPOR,ACER BATTERIE ORDINATEUR 3830T,BATTERIE ORDINATEUR PORTABLE,10000,1
AC3935,BATORDPOR,ACER BATTERIE ORDINATEUR 3935,BATTERIE ORDINATEUR PORTABLE,10000,2
AC4486,BATORDPOR,ACER BATTERIE ORDINATEUR 4486,BATTERIE ORDINATEUR PORTABLE,10000,2
AC44A3,BATORDPOR,ACER BATTERIE ORDINATEUR 44A3,BATTERIE ORDINATEUR PORTABLE,10000,2
AC47104,BATORDPOR,ACER BATTERIE ORDINATEUR 4710 / 5350 /5889 /4516 /4947/6823,BATTERIE ORDINATEUR PORTABLE,10000,9
AC4741,BATORDPOR,ACER BATTERIE ORDINATEUR  4741/4551 SERIES ASPIRE 4551-261/ 5751,BATTERIE ORDINATEUR PORTABLE,10000,5
AC4745G,BATORDPOR,ACER BATTERIE ORDINATEUR 4745G,BATTERIE ORDINATEUR PORTABLE,10000,8
AC4810T,BATORDPOR,ACER BATTERIE ORDINATEUR 4810T,BATTERIE ORDINATEUR PORTABLE,10000,6
AC532,BATORDPOR,ACER BATTERIE ORDINATEUR 532,BATTERIE ORDINATEUR PORTABLE,10000,0
AC532H,BATORDPOR,ACER BATTERIE ORDINATEUR 532H,BATTERIE ORDINATEUR PORTABLE,10000,2
AC5330,BATORDPOR,ACER BATTERIE ORDINATEUR 5330,BATTERIE ORDINATEUR PORTABLE,10000,0
AC5330X5330,BATORDPOR,ACER BATTERIE ORDINATEUR 5330X5330,BATTERIE ORDINATEUR PORTABLE,10000,0
AC5500,BATORDPOR,ACER BATTERIE ORDINATEUR 5500,BATTERIE ORDINATEUR PORTABLE,10000,8
AC5520,BATORDPOR,ACER BATTERIE ORDINATEUR 5520/AS07B72/ASB0731/5530/7720/7220/7520....,BATTERIE ORDINATEUR PORTABLE,10000,0
AC5532,BATORDPOR,ACER BATTERIE ORDINATEUR 5532 / 4732,BATTERIE ORDINATEUR PORTABLE,10000,6
AC5560,BATORDPOR,ACER BATTERIE ORDINATEUR 5560,BATTERIE ORDINATEUR PORTABLE,10000,5
AC5580,BATORDPOR,ACER BATTERIE ORDINATEUR 5580,BATTERIE ORDINATEUR PORTABLE,10000,5
AC58A1,BATORDPOR,ACER BATTERIE ORDINATEUR 58A1,BATTERIE ORDINATEUR PORTABLE,10000,2
AC5943,BATORDPOR,ACER BATTERIE ORDINATEUR 5943 ACER 5943   5943G   8943G,BATTERIE ORDINATEUR PORTABLE,10000,3
AC6301,BATORDPOR,ACER BATTERIE ORDINATEUR 6301,BATTERIE ORDINATEUR PORTABLE,10000,0
AC7141Z,BATORDPOR,ACER BATTERIE ORDINATEUR 7141Z,BATTERIE ORDINATEUR PORTABLE,10000,0
AC725,BATORDPOR,ACER BATTERIE ORDINATEUR 725 / 756,BATTERIE ORDINATEUR PORTABLE,10000,0
AC7250G,BATORDPOR,ACER BATTERIE ORDINATEUR 7250G,BATTERIE ORDINATEUR PORTABLE,10000,0
AC751,BATORDPOR,ASUS BATTERIE ORDINATEUR ASPIRE ONE 751 AO751-BK23 UM09A31/UM09B31,BATTERIE ORDINATEUR PORTABLE,10000,0
AC9410,BATORDPOR,ACER BATTERIE ORDINATEUR 9410 / QC236 / 2300,BATTERIE ORDINATEUR PORTABLE,10000,11
ACAL15A32,BATORDPOR,ACER BATTERIE ORDINATEUR AL15A32 /E5 573/ E5 522,BATTERIE ORDINATEUR PORTABLE,15000,0
ACAR532H,BATORDPOR,ACER BATTERIE ORDINATEUR AR532H,BATTERIE ORDINATEUR PORTABLE,10000,0
ACAR5500LHAT,BATORDPOR,ACER BATTERIE ORDINATEUR ACAR5500LH-AT,BATTERIE ORDINATEUR PORTABLE,10000,1
ACAS16A5K,BATORDPOR,ACER BATTERIE ORDINATEUR AS16A5K /Aspire E 15 E5-575G-53VG,BATTERIE ORDINATEUR PORTABLE,15000,0
ACBATBL50L6H,BATORDPOR,ACER BATTERIE ORDINATEUR BATBL50L6H,BATTERIE ORDINATEUR PORTABLE,10000,0
ACBTPAMJ1,BATORDPOR,ACER BATTERIE ORDINATEUR BTPAMJ1,BATTERIE ORDINATEUR PORTABLE,10000,2
ACD260,BATORDPOR,ACER BATTERIE ORDINATEUR AL10A31/AL14A32 / D255 /AL10B31,BATTERIE ORDINATEUR PORTABLE,10000,6
ACL5056H,BATORDPOR,ACER BATTERIE ORDINATEUR L5056H,BATTERIE ORDINATEUR PORTABLE,10000,0
ACONEBK,BATORDPOR,ACER BATTERIE ORDINATEUR ONEBK,BATTERIE ORDINATEUR PORTABLE,10000,1
ACR3000,BATORDPOR,ACER BATTERIE ORDINATEUR R3000,BATTERIE ORDINATEUR PORTABLE,10000,0
ACUL20,BATORDPOR,ACER BATTERIE ORDINATEUR  UL20,BATTERIE ORDINATEUR PORTABLE,10000,0
ACUMO8A31,BATORDPOR,ACER BATTERIE ORDINATEUR UM08A31,BATTERIE ORDINATEUR PORTABLE,10000,1
ACV5,BATORDPOR,ACER BATTERIE ORDINATEUR ASPIRE V5-431/V5-531/V5-571/V5-471/AL12A72,BATTERIE ORDINATEUR PORTABLE,10000,0
AP1175,BATORDPOR,APPLE BATTERIE ORDINATEUR MAC A1175 PRO 15   A1260 / A1150 / A1260 /,BATTERIE ORDINATEUR PORTABLE,25000,4
AP1281,BATORDPOR,APPLE BATTERIE ORDINATEUR MACBOOK 1281 /    APPLE MACBOOK PRO 15,BATTERIE ORDINATEUR PORTABLE,25000,2
AP1321,BATORDPOR,APPLE BATTERIE ORDINATEUR MACBOOK A1321 / A1286 /,BATTERIE ORDINATEUR PORTABLE,20000,5
APA1185,BATORDPOR,APPLE BATTERIE ORDINATEUR MACBOOK A1185  A1181,BATTERIE ORDINATEUR PORTABLE,25000,6
APA1189,BATORDPOR,APPLE BATTERIE ORDINATEUR MACBOOK 1189A,BATTERIE ORDINATEUR PORTABLE,25000,3
APA1280,BATORDPOR,APPLE BATTERIE ORDINATEUR A1280 MACBOOK 13   SERIES,BATTERIE ORDINATEUR PORTABLE,20000,5
APA1331,BATORDPOR,APPLE BATTERIE ORDINATEUR MACBOOK 1331 / A1342,BATTERIE ORDINATEUR PORTABLE,20000,4
AS1005,BATORDPOR,ASUS BATTERIE ORDINATEUR 1005 Eee PC 1001HA Eee/ PC 1005H,BATTERIE ORDINATEUR PORTABLE,10000,0
AS1015,BATORDPOR,"ASUS BATTERIE ORDINATEUR 1015  1015, ASUS EEE 1015P / PC 1011CX",BATTERIE ORDINATEUR PORTABLE,10000,0
AS1025,BATORDPOR,ASUS BATTERIE ORDINATEUR 1025,BATTERIE ORDINATEUR PORTABLE,10000,10
AS102B,BATORDPOR,ASUS BATTERIE ORDINATEUR 102B,BATTERIE ORDINATEUR PORTABLE,10000,0
ASA2,BATORDPOR,ASUS BATTERIE ORDINATEUR A2,BATTERIE ORDINATEUR PORTABLE,10000,0
ASA24,BATORDPOR,ASUS BATTERIE ORDINATEUR A24,BATTERIE ORDINATEUR PORTABLE,10000,11
ASA3,BATORDPOR,ASUS BATTERIE ORDIANTEUR A3,BATTERIE ORDINATEUR PORTABLE,10000,0
ASA31N13,BATORDPOR,ASUS BATTERIE ORDINATEUR A31N13,BATTERIE ORDINATEUR PORTABLE,10000,0
ASA31N1311,BATORDPOR,ASUS BATTERIE ORDINATEUR A31N1311,BATTERIE ORDINATEUR PORTABLE,10000,0
ASA31N301,BATORDPOR,ASUS BATTERIE ORDINATEUR A31N301,BATTERIE ORDINATEUR PORTABLE,10000,0
ASA31N319,BATORDPOR,ASUS BATTERIE ORDINATEUR A31N319,BATTERIE ORDINATEUR PORTABLE,10000,0
ASA31S5,BATORDPOR,ASUS BATTERIE ORDINATEUR A31S5,BATTERIE ORDINATEUR PORTABLE,10000,0
ASA4,BATORDPOR,ASUS BATTERIE ORDINATEUR A4,BATTERIE ORDINATEUR PORTABLE,10000,0
ASA42,BATORDPOR,ASUS BATTERIE ORDINATEUR A42,BATTERIE ORDINATEUR PORTABLE,10000,0
ASA42-G75,BATORDPOR,ASUS BATTERIE ORDINATEUR A42-G75,BATTERIE ORDINATEUR PORTABLE,10000,5
ASA42-W3,BATORDPOR,ASUS BATTERIE ORDINATEUR A42-W3,BATTERIE ORDINATEUR PORTABLE,10000,0
ASA42M2,BATORDPOR,ASUS BATTERIE ORDINATEUR A42-M2,BATTERIE ORDINATEUR PORTABLE,10000,2
ASA42N82,BATORDPOR,ASUS BATTERIE ORDINATEUR A42-N82,BATTERIE ORDINATEUR PORTABLE,15000,2
ASA42W3,BATORDPOR,ASUS BATTERIE ORDINATEUR 42-W3,BATTERIE ORDINATEUR PORTABLE,10000,0
ASA8,BATORDPOR,ASUS BATTERIE ORDINATEUR A8 ASUS A8DC A8000 A8E A8F A8FM,BATTERIE ORDINATEUR PORTABLE,10000,5
ASAA2446,BATORDPOR,ASUS BATTERIE ORDINATEUR AA2446,BATTERIE ORDINATEUR PORTABLE,10000,0
ASAL22-703,BATORDPOR,ASUS BATTERIE ORDINATEUR AL22-703,BATTERIE ORDINATEUR PORTABLE,10000,0
ASAL23901,BATORDPOR,ASUS BATTERIE ORDINATEUR AL23901 / AL23-901,BATTERIE ORDINATEUR PORTABLE,10000,1
ASB31N1345,BATORDPOR,ASUS BATTERIE ORDINATEUR B31N1345,BATTERIE ORDINATEUR PORTABLE,25000,3
ASB31N1732,BATORDPOR,ASUS BATTERIE ORDINATEUR B31N1732 11.52V 42WH /ORIGINAL,BATTERIE ORDINATEUR PORTABLE,25000,4
ASBTPAMJ1,BATORDPOR,ASUS BATTERIE ORDINATEUR BTP AMJ1,BATTERIE ORDINATEUR PORTABLE,10000,1
ASC4500,BATORDPOR,ASUS BATTERIE ORDINATEUR C4500,BATTERIE ORDINATEUR PORTABLE,10000,10
ASEEEPC701,BATORDPOR,ASUS BATTERIE ORDINATEUR EEEPC701,BATTERIE ORDINATEUR PORTABLE,10000,0
ASEEEPC900A,BATORDPOR,ASUS BATTERIE ORDINATEUR EEEPC900A,BATTERIE ORDINATEUR PORTABLE,10000,0
ASEEEPC901,BATORDPOR,ASUS BATTERIE ORDINATEUR EEPC901,BATTERIE ORDINATEUR PORTABLE,10000,0
ASF3,BATORDPOR,ASUS BATTERIE ORDINATEUR F3 /A32-F3/F9,BATTERIE ORDINATEUR PORTABLE,10000,10
ASF3A9,BATORDPOR,ASUS BATTERIE ORDINATEUR F3/A9,BATTERIE ORDINATEUR PORTABLE,10000,2
ASF5,BATORDPOR,ASUS BATTERIE ORDINATEUR F5/A32-F5,BATTERIE ORDINATEUR PORTABLE,10000,17
ASF52,BATORDPOR,ASUS BATTERIE ORDINATEUR F52,BATTERIE ORDINATEUR PORTABLE,10000,2
ASF80,BATORDPOR,ASUS BATTERIE ORDINATEUR F80 ASF800LH-AT,BATTERIE ORDINATEUR PORTABLE,10000,5
ASF82,BATORDPOR,ASUS BATTERIE ORDINATEUR F82,BATTERIE ORDINATEUR PORTABLE,10000,0
ASG7152,BATORDPOR,ASUS BATTERIE ORDINATEUR G7152,BATTERIE ORDINATEUR PORTABLE,10000,0
ASG73,BATORDPOR,ASUS BATTERIE ORDINATEUR G73,BATTERIE ORDINATEUR PORTABLE,15000,4
ASG74,BATORDPOR,ASUS BATTERIE ORDINATEUR G74,BATTERIE ORDINATEUR PORTABLE,10000,6
ASG75,BATORDPOR,ASUS BATTERIE ORDINATEUR G75,BATTERIE ORDINATEUR PORTABLE,10000,10
ASG751,BATORDPOR,ASUS BATTERIE ORDINATEUR  G751/G42N1728/ A42N1403,BATTERIE ORDINATEUR PORTABLE,15000,3
ASG752,BATORDPOR,ASUS BATTERIE ORDINATEUR G752,BATTERIE ORDINATEUR PORTABLE,10000,0
ASGL552,BATORDPOR,ASUS BATTERIE ORDINATEUR GL552/ZX50,BATTERIE ORDINATEUR PORTABLE,15000,3
ASK52,BATORDPOR,ASUS BATTERIE ORDINATEUR K52/K42,BATTERIE ORDINATEUR PORTABLE,10000,6
ASK53,BATORDPOR,ASUS BATTERIE ORDINATEUR K53,BATTERIE ORDINATEUR PORTABLE,10000,3
ASK55,BATORDPOR,ASUS BATTERIE ORDINATEUR K55,BATTERIE ORDINATEUR PORTABLE,10000,0
ASK56,BATORDPOR,ASUS BATTERIE ORDINATEUR K56/R505C/K56C/A41-K56,BATTERIE ORDINATEUR PORTABLE,10000,11
ASK63,BATORDPOR,ASUS BATTERIE ORDINATEUR K63,BATTERIE ORDINATEUR PORTABLE,10000,0
ASK72,BATORDPOR,ASUS BATTERIE ORDINATEUR K72,BATTERIE ORDINATEUR PORTABLE,10000,0
ASM50,BATORDPOR,ASUS BATTERIE ORDINATEUR  M50,BATTERIE ORDINATEUR PORTABLE,10000,9
ASM6,BATORDPOR,ASUS BATTERIE ORDINATEUR M6,BATTERIE ORDINATEUR PORTABLE,10000,2
ASM70,BATORDPOR,ASUS BATTERIE ORDINATEUR M70,BATTERIE ORDINATEUR PORTABLE,15000,0
ASN50,BATORDPOR,ASUS BATTERIE ORDINATEUR N50,BATTERIE ORDINATEUR PORTABLE,10000,5
ASN552V,BATORDPOR,ASUS BATTERIE ORDINATEUR A41N1501/N552V,BATTERIE ORDINATEUR PORTABLE,10000,0
ASN56,BATORDPOR,ASUS BATTERIE ORDINATEUR A32-N56/N46,BATTERIE ORDINATEUR PORTABLE,10000,0
ASN61,BATORDPOR,ASUS BATTERIE ORDINATEUR N61,BATTERIE ORDINATEUR PORTABLE,10000,10
ASN82,BATORDPOR,ASUS BATTERIE ORDINATEUR N82/A42-N82,BATTERIE ORDINATEUR PORTABLE,10000,0
ASP2520L,BATORDPOR,ASUS BATTERIE ORDINATEUR P2520L/A41N1421/A32N1331,BATTERIE ORDINATEUR PORTABLE,15000,0
ASPC701,BATORDPOR,ASUS BATTERIE ORDINATEUR PC701,BATTERIE ORDINATEUR PORTABLE,10000,0
ASPC900A,BATORDPOR,ASUS BATTERIE ORDINATEUR PC900A,BATTERIE ORDINATEUR PORTABLE,10000,0
ASS5,BATORDPOR,ASUS BATTERIE ORDINATEUR S5,BATTERIE ORDINATEUR PORTABLE,10000,0
ASU20,BATORDPOR,ASUS BATTERIE ORDINATEUR U20,BATTERIE ORDINATEUR PORTABLE,10000,5
ASU31,BATORDPOR,ASUS BATTERIE ORDINATEUR U31,BATTERIE ORDINATEUR PORTABLE,10000,3
ASU5,BATORDPOR,ASSUS BATTERY U5,BATTERIE ORDINATEUR PORTABLE,10000,1
ASU53,BATORDPOR,ASUS BATTERIE ORDINATEUR A42-U53/,BATTERIE ORDINATEUR PORTABLE,15000,5
ASU56,BATORDPOR,ASUS BATTERIE ORDINATEUR U56,BATTERIE ORDINATEUR PORTABLE,10000,7
ASU6,BATORDPOR,ASUS BATTERIE ORDINATEUR U6 90-ND81B1000T   90-ND81B2000T,BATTERIE ORDINATEUR PORTABLE,10000,4
ASU80,BATORDPOR,ASUS BATTERIE ORDINATEUR U80,BATTERIE ORDINATEUR PORTABLE,10000,5
ASUK72,BATORDPOR,ASUS BATTERIE ORDINATEUR K72,BATTERIE ORDINATEUR PORTABLE,10000,0
ASUL20,BATORDPOR,ASUS BATTERIE ORDINATEUR UL20,BATTERIE ORDINATEUR PORTABLE,10000,4
ASUL50,BATORDPOR,ASUS BATTERIE ORDINATEUR UL50/UL30/UL80,BATTERIE ORDINATEUR PORTABLE,15000,8
ASUL60,BATORDPOR,ASUS BATTERIE ORDINATEUR UL60,BATTERIE ORDINATEUR PORTABLE,15000,5
ASUN255,BATORDPOR,ASUS BATTERIE ORDINATEUR UN255,BATTERIE ORDINATEUR PORTABLE,10000,0
ASV24,BATORDPOR,ASUS BATTERIE ORDINATEUR V24,BATTERIE ORDINATEUR PORTABLE,10000,0
ASV56,BATORDPOR,ASUS BATTERIE ORDINATEUR V56,BATTERIE ORDINATEUR PORTABLE,10000,0
ASV6,BATORDPOR,ASUS BATTERIE ORDINATEUR V6,BATTERIE ORDINATEUR PORTABLE,10000,0
ASV80,BATORDPOR,ASUS BATTERIE ORDINATEUR V80,BATTERIE ORDINATEUR PORTABLE,10000,0
ASX102B,BATORDPOR,ASUS BATTERIE ORDINATEUR X102B/X102BA/A31N1345,BATTERIE ORDINATEUR PORTABLE,10000,19
ASX401,BATORDPOR,ASUS BATTERIE ORDINATEUR X401,BATTERIE ORDINATEUR PORTABLE,10000,0
ASX402,BATORDPOR,ASUS BATTERIE ORDINATEUR X402/X201E/X202,BATTERIE ORDINATEUR PORTABLE,20000,1
ASX441,BATORDPOR,ASUS BATTERIE ORDINATEUR X441/,BATTERIE ORDINATEUR PORTABLE,10000,5
ASX450,BATORDPOR,ASUS BATTERIE ORDINATEUR X450 / A41-X550A / R510C/X550,BATTERIE ORDINATEUR PORTABLE,10000,0
ASX451,BATORDPOR,ASUS BATTERIE ORDINATEUR X451/A31N1319,BATTERIE ORDINATEUR PORTABLE,10000,14
ASX455,BATORDPOR,ASUS BATTERIE ORDINATEUR X455/X455DG/X455DG-1A/C21N1401,BATTERIE ORDINATEUR PORTABLE,15000,8
ASX501,BATORDPOR,ASUS BATTERIE ORDINATEUR X501,BATTERIE ORDINATEUR PORTABLE,10000,4
ASX540,BATORDPOR,ASUS BATTERIE ORDINATEUR X540 ASUS X540 SERIES ASUS X540LA SERIES,BATTERIE ORDINATEUR PORTABLE,10000,0
ASX541,BATORDPOR,ASUS BATTERIE ORDINATEUR X541,BATTERIE ORDINATEUR PORTABLE,10000,6
ASX550,BATORDPOR,ASUS BATTERIE ORDINATEUR X 550,BATTERIE ORDINATEUR PORTABLE,10000,0
ASX551CA31N1319,BATORDPOR,ASUS BATTERIE ORDINATEUR X551C A31N1319,BATTERIE ORDINATEUR PORTABLE,10000,0
ASX555LD,BATORDPOR,ASUS BATTERIE ORDINATEUR X555LD/C21N1347,BATTERIE ORDINATEUR PORTABLE,20000,5
ASX556,BATORDPOR,ASUS BATTERIE ORDINATEUR X556,BATTERIE ORDINATEUR PORTABLE,15000,0
ASX935,BATORDPOR,ASUS BATTERIE ORDINATEUR X935,BATTERIE ORDINATEUR PORTABLE,10000,1
B450,BATORDPOR,IBM LENOVO BATTERIE ORDINATEUR B450,BATTERIE ORDINATEUR PORTABLE,10000,6
BEE011666,BATORDPOR,IBM-LENOVO BATTERIE ORDINATEUR BEE011666,BATTERIE ORDINATEUR PORTABLE,10000,0
BP104,BATORDPOR,FUJITSU BATTERIE ORDINATEUR BP104,BATTERIE ORDINATEUR PORTABLE,10000,0
BP107,BATORDPOR,FUJITSU BATTERIE ORDINATEUR BP107,BATTERIE ORDINATEUR PORTABLE,10000,0
BP111,BATORDPOR,FUJITSU BATTERIE ORDINATEUR BP111,BATTERIE ORDINATEUR PORTABLE,10000,3
BP159,BATORDPOR,ASUS BATTERIE ORDINATEUR BP159,BATTERIE ORDINATEUR PORTABLE,10000,0
BP163,BATORDPOR,FUJITSU BATTERIE ORDINATEUR BP163,BATTERIE ORDINATEUR PORTABLE,10000,0
BP171,BATORDPOR,FUJITSU BATTERIE ORDINATEUR BP171,BATTERIE ORDINATEUR PORTABLE,10000,3
BP174,BATORDPOR,FUJITSU BATTERIE ORDINATEUR  BP174,BATTERIE ORDINATEUR PORTABLE,10000,0
BP198,BATORDPOR,FUJITSU BATTERIE ORDINATEUR BP198,BATTERIE ORDINATEUR PORTABLE,10000,3
BP205,BATORDPOR,FUJITSU BATTERIE ORDINATEUR BP205,BATTERIE ORDINATEUR PORTABLE,10000,0
BP42,BATORDPOR,FUJITSU BATTERIE ORDINATEUR BP42,BATTERIE ORDINATEUR PORTABLE,10000,3
BP511,BATORDPOR,SONY BATTERIE ORDINATEUR BP511,BATTERIE ORDINATEUR PORTABLE,10000,2
BP8050,BATORDPOR,NEC BATTERIE ORDINATEUR BP 8050,BATTERIE ORDINATEUR PORTABLE,10000,2
BPT-52W,BATORDPOR,FUJITSU BATTERIE ORDINATEUR BPT-52W,BATTERIE ORDINATEUR PORTABLE,10000,0
BTY514,BATORDPOR,MSI BATTERIE ORDINATEUR BTY-514,BATTERIE ORDINATEUR PORTABLE,10000,0
BTY74,BATORDPOR,MSI BATTERIE ORDINATEUR MSI BTY-74,BATTERIE ORDINATEUR PORTABLE,10000,4
BTYM42,BATORDPOR,MSI BATTERIE ORDINATEUR BTY-M42,BATTERIE ORDINATEUR PORTABLE,10000,3
BTYS14,BATORDPOR,MSI BATTERIE ORDINATEUR BTY-S14,BATTERIE ORDINATEUR PORTABLE,10000,1
CLEVOW650,BATORDPOR,CLEVO BATTERIE ORDINATEUR W650,BATTERIE ORDINATEUR PORTABLE,15000,1
DE1120,BATORDPOR,DELL BATTERIE ORDINATEUR INSPIRON 1120;1121;M101Z;11Z,BATTERIE ORDINATEUR PORTABLE,10000,1
DE1210,BATORDPOR,DELL BATTERIE ORDINATEUR 1210/XPS M1210,BATTERIE ORDINATEUR PORTABLE,10000,0
DE1310,BATORDPOR,DELL BATTERIE ORDINATEUR 1310/VOSTRO 1310/1320//2510/1520,BATTERIE ORDINATEUR PORTABLE,10000,6
DE1312,BATORDPOR,DELL BATTERIE ORDINATEUR 1312,BATTERIE ORDINATEUR PORTABLE,10000,4
DE1320,BATORDPOR,DELL BATTERIE ORDINATEUR 1320 /INSPIRON 1320/INSPIRON 1320N,BATTERIE ORDINATEUR PORTABLE,10000,1
DE1340,BATORDPOR,"DELL BATTERIE ORDINATEUR 1340/STUDIO XPS 13,XPS 1340,STUDIO XPS PP17S",BATTERIE ORDINATEUR PORTABLE,10000,0
DE1370,BATORDPOR,"DELL BATTERIE ORDINATEUR 1370,INSPIRON 13Z{P06S} INSPIRON 1370",BATTERIE ORDINATEUR PORTABLE,10000,0
DE1420,BATORDPOR,DELL BATTERIE ORDINATEUR 1420 DELL INSPIRON 1420 DELL VOSTRO 1400,BATTERIE ORDINATEUR PORTABLE,10000,9
DE1435,BATORDPOR,DELL BATTERIE ORDINATEUR 1435/ STUDIO1435 SERIES STUDIO 1436,BATTERIE ORDINATEUR PORTABLE,10000,3
DE1440,BATORDPOR,DELL BATTERIE ORDINATEUR 1440 INSPIRON 1440 INSPIRON 1750,BATTERIE ORDINATEUR PORTABLE,10000,4
DE1450,BATORDPOR,DELL BATTERIE ORDINATEUR 1450/STUDIO 1450/1457/1458,BATTERIE ORDINATEUR PORTABLE,10000,8
DE1464,BATORDPOR,DELL BATTERIE ORDINATEUR 1464 INSPIRON 1464 INSPIRON 1564,BATTERIE ORDINATEUR PORTABLE,10000,5
DE1470,BATORDPOR,DELL BATTERIE ORDINATEUR 1470,BATTERIE ORDINATEUR PORTABLE,10000,1
DE1520,BATORDPOR,"DELL BATTERIE ORDINATEUR 1520 DELL INSPIRON 1720, 1721, 1500, 1520, ",BATTERIE ORDINATEUR PORTABLE,10000,6
DE1525,BATORDPOR,DELL BATTERIE ORDINATEUR 1525/1526/1545/1750/VOSTRO500/1440/X284G,BATTERIE ORDINATEUR PORTABLE,10000,0
DE1530,BATORDPOR,DELL BATTERIE ORDINATEUR 1530  DELL XPS M1530 SERIES,BATTERIE ORDINATEUR PORTABLE,10000,2
DE1535,BATORDPOR,"DELL BATTERIE ORDINATEUR 1535/STUDIO SERIES 1535,1536,1537,1555,1557",BATTERIE ORDINATEUR PORTABLE,10000,2
DE1545,BATORDPOR,DELL BATTERIE ORDINATEUR 1545,BATTERIE ORDINATEUR PORTABLE,10000,0
DE1551,BATORDPOR,DELL BATTERIE ORDINATEUR 1551,BATTERIE ORDINATEUR PORTABLE,10000,0
DE1636,BATORDPOR,DELL BATTERIE ORDINATEUR 1636,BATTERIE ORDINATEUR PORTABLE,10000,0
DE1700,BATORDPOR,DELL BATTERIE ORDINATEUR 1700,BATTERIE ORDINATEUR PORTABLE,10000,2
DE17106,BATORDPOR,DELL BATTERIE ORDINATEUR 1710-6,BATTERIE ORDINATEUR PORTABLE,10000,7
DE1730,BATORDPOR,DELL BATTERIE ORDINATEUR 1730 /XPS M1730,BATTERIE ORDINATEUR PORTABLE,10000,3
DE1735,BATORDPOR,DELL BATTERIE ORDINATEUR 1735 /STUDIO 1735/STUDIO 1737,BATTERIE ORDINATEUR PORTABLE,10000,1
DE1736,BATORDPOR,DELL BATTERIE ORDINATEUR 1736,BATTERIE ORDINATEUR PORTABLE,10000,0
DE1747,BATORDPOR,"DELL BATTERIE ORDINATEUR 1747 STUDIO 17,STUDIO 1745,STUDIO 1747,1749",BATTERIE ORDINATEUR PORTABLE,10000,0
DE2650,BATORDPOR,DELL BATTERIE ORDINATEUR 2650/2600/PC100N/WINBOOK N4,BATTERIE ORDINATEUR PORTABLE,10000,0
DE3300,BATORDPOR,DELL BATTERIE ORDINATEUR 3300/VOSTRO 330,BATTERIE ORDINATEUR PORTABLE,10000,6
DE3340,BATORDPOR,"DELL BATTERIE 3340 451-BBIY, 451-BBIZ, 451-BBJB, 7WV3V, H4PJP, JR6XC",BATTERIE ORDINATEUR PORTABLE,20000,1
DE3400,BATORDPOR,DELL BATTERIE ORDINATEUR 3400 / V3400,BATTERIE ORDINATEUR PORTABLE,10000,3
DE3420,BATORDPOR,DELL BATTERIE ORDINATEUR 3420,BATTERIE ORDINATEUR PORTABLE,10000,0
DE3451,BATORDPOR,DELL BATTERIE ORDINATEUR 3451 M5Y1K / 5558,BATTERIE ORDINATEUR PORTABLE,15000,0
DE3521,BATORDPOR,DELL BATTERIE ORD 3521 / XCMRD,BATTERIE ORDINATEUR PORTABLE,15000,0
DE4710S,BATORDPOR,DELL BATTERIE ORDINATEUR  4710S,BATTERIE ORDINATEUR PORTABLE,10000,0
DE5100,BATORDPOR,DELL BATTERIE ORDINATEUR 5100,BATTERIE ORDINATEUR PORTABLE,10000,1
DE5421,BATORDPOR,DELL BATTERIE ORDINATEUR DELL 5421-3S2P/MR90Y / 3421/3521/XCMRD,BATTERIE ORDINATEUR PORTABLE,20000,7
DE5547,BATORDPOR,DELL BATTERIE ORDINATEUR 5547/TRHFF,BATTERIE ORDINATEUR PORTABLE,25000,0
DE6000,BATORDPOR,DELL BATTERIE ORDINATEUR 6000/9200/9300/9400/ E1705,BATTERIE ORDINATEUR PORTABLE,10000,0
DE620BK,BATORDPOR,DELL BATTERIE ORDINATEUR 620BK,BATTERIE ORDINATEUR PORTABLE,10000,2
DE630M,BATORDPOR,DELL BATTERIE ORDINATEUR 630M/INSPIRON 630M/640M/E1405/XPS M140,BATTERIE ORDINATEUR PORTABLE,10000,7
DE6400,BATORDPOR,DELL BATTERIE ORDINATEUR 6400/1501/E1505/LAT 131L/VOSTRO 1000,BATTERIE ORDINATEUR PORTABLE,10000,8
DE6420,BATORDPOR,DELL BATTERIE ORD E6420/E5420/E5520/E6120/ T54FJ /M5Y0X / 8858X/E6430,BATTERIE ORDINATEUR PORTABLE,20000,0
DE6430U,BATORDPOR,DELL BATTERIE ORDIANTEUR 6430U,BATTERIE ORDINATEUR PORTABLE,25000,7
DE7470,BATORDPOR,DELL BATTERIE ORDINATEUR E7470 / E7270 / J60J5 / 7C3RC /,BATTERIE ORDINATEUR PORTABLE,25000,0
DE7480,BATORDPOR,DELL BATTERIE ORDINATEUR 7480 / 7280 /F3YGT,BATTERIE ORDINATEUR PORTABLE,30000,0
